uniprot	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches	CBM2
A0A010ZQY5	unreviewed	Glucanase	927661	Cryptosporangium arvum DSM 44712	459	IPR001919	23..135	23-135
A0A011USQ1	unreviewed	Endoglucanase	1451261	Microbacterium sp. MRS-1	555	IPR001919	448..555	448-555
A0A011V1X4	unreviewed	Endoglucanase	1341156	Ruminococcus albus SY3	646	IPR001919	90..202	90-202
A0A014LN52	unreviewed	CBM2 domain-containing protein	1158056	Streptomyces sp. PRh5	959	IPR001919	23..132	23-132
A0A014MHH1	unreviewed	CBM2 domain-containing protein	1158056	Streptomyces sp. PRh5	593	IPR001919	486..593	486-593
A0A014N4U1	unreviewed	CBM2 domain-containing protein	1158056	Streptomyces sp. PRh5	371	IPR001919	267..371	267-371
A0A014NXH9	unreviewed	Beta-xylanase	1158056	Streptomyces sp. PRh5	463	IPR001919	358..463	358-463
A0A017SVZ4	unreviewed	CBM2 domain-containing protein	1192034	Chondromyces apiculatus DSM 436	782	IPR001919	695..782	695-782
A0A021VT04	unreviewed	CBM2 domain-containing protein	948458	Actinotalea ferrariae CF5-4	783	IPR001919	674..783	674-783
A0A022MBR6	unreviewed	Sugar hydrolase	1470557	Streptomyces sp. Tu 6176	499	IPR001919	33..141	33-141
A0A022MMQ0	unreviewed	chitinase	1470557	Streptomyces sp. Tu 6176	790	IPR001919	60..170	60-170
A0A022MSY7	unreviewed	chitinase	1470557	Streptomyces sp. Tu 6176	610	IPR001919	31..138	31-138
A0A023LLN8	unreviewed	CBM2 domain-containing protein	1445510	Gynuella sunshinyii YC6258	652	IPR001919	564..652	564-652
A0A023NDI2	unreviewed	Endoglucanase	31243	Globodera rostochiensis	478	IPR001919	375..478	375-478
A0A024A6R9	unreviewed	chitinase	1428	Bacillus thuringiensis	676	IPR001919	574..676	574-676
A0A024JXG8	unreviewed	CBM2 domain-containing protein	47839	Mycobacterium triplex	148	IPR001919	37..147	37-147
A0A031FW30	unreviewed	Endoglucanase	273677	Microbacterium oleivorans	523	IPR001919	412..523	412-523
A0A059V772	unreviewed	chitinase	1444	Bacillus thuringiensis subsp. tenebrionis	676	IPR001919	574..676	574-676
A0A060BM99	unreviewed	CBM2 domain-containing protein	671178	uncultured Thermobifida sp.	81	IPR001919	1..81	1-81
A0A060BMJ9	unreviewed	CBM2 domain-containing protein	671178	uncultured Thermobifida sp.	107	IPR001919	7..107	7-107
A0A060BPK3	unreviewed	Fibronectin type-III domain-containing protein	876087	uncultured Xylanimonas sp.	131	IPR001919	54..126	54-126
A0A060C2I7	unreviewed	CBM2 domain-containing protein	697524	uncultured Thermobispora sp.	45	IPR001919	1..45	1-45
A0A060C456	unreviewed	CBM2 domain-containing protein	876087	uncultured Xylanimonas sp.	164	IPR001919	67..164	67-164
A0A060H8L4	unreviewed	Endoglucanase	155920	Xylella fastidiosa subsp. sandyi Ann-1	522	IPR001919	433..522	433-522
A0A060ZGG7	unreviewed	Beta-xylanase	576784	Streptomyces iranensis	462	IPR001919	357..462	357-462
A0A060ZR13	unreviewed	CBM2 domain-containing protein	576784	Streptomyces iranensis	374	IPR001919	270..374	270-374
A0A060ZTT4	unreviewed	CBM2 domain-containing protein	576784	Streptomyces iranensis	959	IPR001919	23..132	23-132
A0A060ZXV4	unreviewed	CBM2 domain-containing protein	576784	Streptomyces iranensis	598	IPR001919	491..598	491-598
A0A061A8W9	unreviewed	Endoglucanase	576784	Streptomyces iranensis	441	IPR001919	331..441	331-441
A0A064CUJ8	unreviewed	CBM2 domain-containing protein	1440774	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368	143	IPR001919	34..143	34-143
A0A066TNF4	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	394	IPR001919	19..128	19-128
A0A066TP80	unreviewed	chitinase	287986	Amycolatopsis rifamycinica	542	IPR001919	26..135	26-135
A0A066TR01	unreviewed	Beta-xylanase	287986	Amycolatopsis rifamycinica	460	IPR001919	368..460	368-460
A0A066TUH2	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	389	IPR001919	26..134	26-134
A0A066TV85	unreviewed	non-specific serine/threonine protein kinase	287986	Amycolatopsis rifamycinica	453	IPR001919	348..453	348-453
