Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools	CBM2	AA10	uniprot	Domains
A0A014N4U1|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(48-239)+CBM2(274-362)	AA10_e30+CBM2_e70	AA10+CBM2	N	3	274-362	48-239	A0A014N4U1	AA10+CBM2
A0A060ZR13|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(48-239)+CBM2(277-367)	AA10_e30+CBM2_e70	AA10+CBM2	N	3	277-367	48-239	A0A060ZR13	AA10+CBM2
A0A066U3Z1|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(32-220)+CBM2(273-367)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-32)	3	273-367	32-220	A0A066U3Z1	AA10+CBM2
A0A066YW87|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(33-223)+CBM2(273-363)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-33)	3	273-363	33-223	A0A066YW87	AA10+CBM2
A0A081XXT8|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(34-224)+CBM2(257-346)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-34)	3	257-346	34-224	A0A081XXT8	AA10+CBM2
A0A086N6M5|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(35-225)+CBM2(265-353)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-35)	3	265-353	35-225	A0A086N6M5	AA10+CBM2
A0A089Z658|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(35-225)+CBM2(267-359)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-35)	3	267-359	35-225	A0A089Z658	AA10+CBM2
A0A0A0NBS9|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(48-239)+CBM2(274-363)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-48)	3	274-363	48-239	A0A0A0NBS9	AA10+CBM2
A0A0A6XFC6|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(24-217)+CBM2(255-347)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-24)	3	255-347	24-217	A0A0A6XFC6	AA10+CBM2
A0A0B5DID7|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(34-224)+CBM2(265-355)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-34)	3	265-355	34-224	A0A0B5DID7	AA10+CBM2
A0A0C5FZN4|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(28-218)+CBM2(270-359)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-28)	3	270-359	28-218	A0A0C5FZN4	AA10+CBM2
A0A0D0VJW6|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(33-222)+CBM2(276-369)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-35)	3	276-369	33-222	A0A0D0VJW6	AA10+CBM2
A0A0F5VVM9|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(24-213)+CBM2(239-328)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-24)	3	239-328	24-213	A0A0F5VVM9	AA10+CBM2
A0A0F7W7W6|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(51-241)+CBM2(291-380)	AA10_e30+CBM2_e70	AA10+CBM2	N	3	291-380	51-241	A0A0F7W7W6	AA10+CBM2
A0A0H3D8H6|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(32-220)+CBM2(277-371)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-32)	3	277-371	32-220	A0A0H3D8H6	AA10+CBM2
A0A0H4CD33|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(34-224)+CBM2(259-349)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-34)	3	259-349	34-224	A0A0H4CD33	AA10+CBM2
A0A0J8C217|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(34-223)+CBM2(249-339)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-34)	3	249-339	34-223	A0A0J8C217	AA10+CBM2
A0A0K8PRF0|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(40-229)+CBM2(255-344)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-40)	3	255-344	40-229	A0A0K8PRF0	AA10+CBM2
A0A0L0K4L7|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(42-231)+CBM2(257-345)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-42)	3	257-345	42-231	A0A0L0K4L7	AA10+CBM2
A0A0L8KXM1|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(53-242)+CBM2(268-357)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-53)	3	268-357	53-242	A0A0L8KXM1	AA10+CBM2
A0A0M2GNZ9|unreviewed|CBM2	1.14.99.54|1.14.99.53	AA10(40-229)+CBM2(255-344)	AA10_e30+CBM2_e70	AA10+CBM2	Y(1-40)	3	255-344	40-229	A0A0M2GNZ9	AA10+CBM2
